,chr,end_0,end_1,TSS,strand,dist,end_1_original,end_1_fix
61,1,11012742,11012743,11012659,+,0,11012743,11012743
62,1,11060012,11060013,11060044,-,236,11060013,11059777
63,1,11680936,11680937,11680968,-,-102,11680937,11681039
64,1,11980483,11980484,11980444,+,0,11980484,11980484
65,1,13487774,13487775,13487705,+,-77231,13487775,13487775
66,1,16678316,16678317,16678345,-,64979,16678317,16678317
67,1,16678316,16678317,16678346,-,64979,16678317,16678317
68,1,16678327,16678328,16678344,-,64990,16678328,16678328
69,1,16678327,16678328,16678347,-,64990,16678328,16678328
70,1,16686219,16686220,16686251,-,72882,16686220,16686220
71,1,16727361,16727362,16727281,+,194716,16727362,16727362
72,1,16727363,16727364,16727279,+,194714,16727364,16727364
73,1,16905283,16905284,16905199,+,16794,16905284,16922078
74,1,16905285,16905286,16905201,+,16792,16905286,16922078
75,1,16905288,16905289,16905204,+,16789,16905289,16922078
76,1,17053997,17053998,17054029,-,50,17053998,17053948
77,1,17054003,17054004,17054032,-,56,17054004,17053948
78,1,17438533,17438534,17438565,-,304,17438534,17438230
79,1,17438538,17438539,17438570,-,309,17438539,17438230
80,1,17439641,17439642,17439671,-,97,17439642,17439545
81,1,17439644,17439645,17439675,-,100,17439645,17439545
82,1,17439659,17439660,17439677,-,115,17439660,17439545
83,1,17439688,17439689,17439709,-,144,17439689,17439545
84,1,17439689,17439690,17439721,-,145,17439690,17439545
85,1,17439691,17439692,17439723,-,147,17439692,17439545
86,1,19210229,19210230,19210261,-,157,19210230,19210073
87,1,19251493,19251494,19251524,-,79,19251494,19251415
88,1,19251495,19251496,19251527,-,81,19251496,19251415
89,1,19251503,19251504,19251522,-,89,19251504,19251415
90,1,19251862,19251863,19251820,+,0,19251863,19251863
91,1,19251862,19251863,19251825,+,0,19251863,19251863
92,1,20786620,20786621,20786652,-,-28,20786621,20786649
93,1,20786634,20786635,20786666,-,-14,20786635,20786649
94,1,20787275,20787276,20787307,-,81,20787276,20787195
95,1,22052741,22052742,22052709,+,0,22052742,22052742
96,1,22052741,22052742,22052711,+,0,22052742,22052742
97,1,22052741,22052742,22052717,+,0,22052742,22052742
98,1,22052741,22052742,22052728,+,0,22052742,22052742
99,1,22052741,22052742,22052731,+,0,22052742,22052742
100,1,23344249,23344250,23344281,-,39,23344250,23344211
101,1,23344252,23344253,23344284,-,42,23344253,23344211
102,1,23559480,23559481,23559499,-,354,23559481,23559127
103,1,23559482,23559483,23559501,-,356,23559483,23559127
104,1,23559486,23559487,23559503,-,360,23559487,23559127
105,1,23691828,23691829,23691801,+,0,23691829,23691829
106,1,23743547,23743548,23743471,+,30,23743548,23743578
107,1,23778476,23778477,23778418,+,236,23778477,23778713
108,1,23980346,23980347,23980370,-,156,23980347,23980191
109,1,25232447,25232448,25232479,-,4,25232448,25232444
110,1,25247431,25247432,25247454,-,123,25247432,25247309
111,1,25338387,25338388,25338318,+,68,25338388,25338456
112,1,25338388,25338389,25338308,+,67,25338389,25338456
113,1,25338389,25338390,25338314,+,66,25338390,25338456
114,1,25338390,25338391,25338306,+,65,25338391,25338456
115,1,25338399,25338400,25338334,+,56,25338400,25338456
116,1,25906384,25906385,25906416,-,-4,25906385,25906389
117,1,25906384,25906385,25906417,-,-4,25906385,25906389
118,1,25906388,25906389,25906414,-,0,25906389,25906389
119,1,25906389,25906390,25906421,-,1,25906390,25906389
120,1,25906394,25906395,25906420,-,6,25906395,25906389
121,1,25906397,25906398,25906429,-,9,25906398,25906389
122,1,25906400,25906401,25906418,-,12,25906401,25906389
123,1,25906400,25906401,25906419,-,12,25906401,25906389
124,1,25906420,25906421,25906451,-,32,25906421,25906389
125,1,26169985,26169986,26169923,+,197,26169986,26170183
126,1,26170001,26170002,26169927,+,181,26170002,26170183
127,1,26246807,26246808,26246754,+,10922,26246808,26257730
128,1,26280174,26280175,26280099,+,28,26280175,26280203
129,1,26306604,26306605,26306636,-,13,26306605,26306592
130,1,26472480,26472481,26472420,+,146,26472481,26472627
131,1,26472493,26472494,26472440,+,133,26472494,26472627
132,1,26890242,26890243,26890274,-,298,26890243,26889945
133,1,26921798,26921799,26921726,+,130,26921799,26921929
134,1,26921823,26921824,26921760,+,105,26921824,26921929
135,1,26921833,26921834,26921756,+,95,26921834,26921929
136,1,27322320,27322321,27322266,+,70,27322321,27322391
137,1,27322365,27322366,27322293,+,25,27322366,27322391
138,1,27672163,27672164,27672192,-,41,27672164,27672123
139,1,27773267,27773268,27773195,+,157,27773268,27773425
140,1,27914522,27914523,27914549,-,89,27914523,27914434
141,1,27914525,27914526,27914557,-,92,27914526,27914434
142,1,27914529,27914530,27914561,-,96,27914530,27914434
143,1,27914543,27914544,27914575,-,-83,27914544,27914627
144,1,28232988,28232989,28233020,-,68,28232989,28232921
145,1,28233000,28233001,28233029,-,80,28233001,28232921
146,1,28236192,28236193,28236124,+,77,28236193,28236270
147,1,28236195,28236196,28236121,+,74,28236196,28236270
148,1,28236199,28236200,28236134,+,70,28236200,28236270
149,1,28236223,28236224,28236154,+,46,28236224,28236270
150,1,28236236,28236237,28236163,+,33,28236237,28236270
151,1,28648684,28648685,28648600,+,20154,28648685,28648685
152,1,28737020,28737021,28736951,+,126,28737021,28737147
153,1,30757742,30757743,30757774,-,84,30757743,30757659
154,1,30757790,30757791,30757822,-,132,30757791,30757659
155,1,31296733,31296734,31296764,-,123,31296734,31296611
156,1,31296734,31296735,31296766,-,124,31296735,31296611
157,1,31297074,31297075,31297032,+,0,31297075,31297075
158,1,31644843,31644844,31644873,-,3,31644844,31644841
159,1,31644844,31644845,31644876,-,4,31644845,31644841
160,1,31644853,31644854,31644885,-,13,31644854,31644841
161,1,31938316,31938317,31938348,-,330,31938317,31937987
162,1,31938323,31938324,31938354,-,337,31938324,31937987
163,1,31938324,31938325,31938356,-,338,31938325,31937987
164,1,32200649,32200650,32200595,+,59,32200650,32200709
165,1,32201809,32201810,32201725,+,-1101,32201810,32200709
166,1,32222443,32222444,32222407,+,0,32222444,32222444
167,1,32222443,32222444,32222433,+,0,32222444,32222444
168,1,32251339,32251340,32251266,+,31,32251340,32251371
169,1,32251340,32251341,32251270,+,30,32251341,32251371
170,1,32251343,32251344,32251265,+,27,32251344,32251371
171,1,32274168,32274169,32274113,+,57,32274169,32274226
172,1,32274181,32274182,32274115,+,44,32274182,32274226
173,1,32274183,32274184,32274125,+,42,32274184,32274226
174,1,32274192,32274193,32274121,+,33,32274193,32274226
175,1,32336199,32336200,32336230,-,253,32336200,32335947
176,1,32336201,32336202,32336232,-,255,32336202,32335947
177,1,32336215,32336216,32336233,-,269,32336216,32335947
178,1,32394410,32394411,32394441,-,7,32394411,32394404
179,1,32650518,32650519,32650550,-,86,32650519,32650433
180,1,32650523,32650524,32650545,-,91,32650524,32650433
181,1,32817326,32817327,32817358,-,139,32817327,32817188
182,1,33036836,33036837,33036868,-,101,33036837,33036736
183,1,33036840,33036841,33036870,-,105,33036841,33036736
184,1,33036849,33036850,33036879,-,114,33036850,33036736
185,1,33036850,33036851,33036882,-,115,33036851,33036736
186,1,33036851,33036852,33036883,-,116,33036852,33036736
187,1,33036862,33036863,33036894,-,127,33036863,33036736
188,1,35193100,35193101,35193132,-,879,35193101,35192222
189,1,35193109,35193110,35193141,-,888,35193110,35192222
190,1,35193111,35193112,35193143,-,890,35193112,35192222
191,1,35193128,35193129,35193145,-,907,35193129,35192222
192,1,35641474,35641475,35641506,-,133,35641475,35641342
193,1,35641484,35641485,35641514,-,143,35641485,35641342
194,1,35641489,35641490,35641519,-,148,35641490,35641342
195,1,35641490,35641491,35641509,-,149,35641491,35641342
196,1,35641494,35641495,35641526,-,153,35641495,35641342
197,1,35641508,35641509,35641540,-,167,35641509,35641342
198,1,35641511,35641512,35641543,-,170,35641512,35641342
199,1,35641518,35641519,35641550,-,177,35641519,35641342
200,1,35641528,35641529,35641563,-,187,35641529,35641342
201,1,36149463,36149464,36149486,-,127,36149464,36149337
202,1,36224504,36224505,36224429,+,0,36224505,36224505
203,1,36224504,36224505,36224447,+,0,36224505,36224505
204,1,36224504,36224505,36224463,+,0,36224505,36224505
205,1,37595905,37595906,37595937,-,147,37595906,37595759
206,1,37595912,37595913,37595935,-,154,37595913,37595759
207,1,37692553,37692554,37692481,+,24,37692554,37692578
208,1,37692559,37692560,37692483,+,18,37692560,37692578
209,1,37692562,37692563,37692490,+,15,37692563,37692578
210,1,37692575,37692576,37692491,+,2,37692576,37692578
211,1,37692578,37692579,37692496,+,-1,37692579,37692578
212,1,37990004,37990005,37990022,-,135,37990005,37989870
213,1,37990010,37990011,37990042,-,141,37990011,37989870
214,1,37990013,37990014,37990043,-,144,37990014,37989870
215,1,37990046,37990047,37990078,-,177,37990047,37989870
216,1,38012749,38012750,38012719,+,115,38012750,38012865
217,1,38012788,38012789,38012712,+,76,38012789,38012865
218,1,38012802,38012803,38012718,+,62,38012803,38012865
219,1,38012811,38012812,38012727,+,53,38012812,38012865
220,1,38012818,38012819,38012734,+,46,38012819,38012865
221,1,38012818,38012819,38012749,+,46,38012819,38012865
222,1,39026389,39026390,39026318,+,8,39026390,39026398
223,1,39026395,39026396,39026325,+,2,39026396,39026398
224,1,39026397,39026398,39026346,+,0,39026398,39026398
225,1,39026397,39026398,39026350,+,0,39026398,39026398
226,1,39026397,39026398,39026371,+,0,39026398,39026398
227,1,39026397,39026398,39026373,+,0,39026398,39026398
228,1,39026397,39026398,39026375,+,0,39026398,39026398
229,1,39026401,39026402,39026354,+,0,39026402,39026402
230,1,39328495,39328496,39328411,+,-28134,39328496,39328496
231,1,39328500,39328501,39328416,+,-28139,39328501,39328501
232,1,39328518,39328519,39328434,+,-28157,39328519,39328519
233,1,39328520,39328521,39328436,+,-28159,39328521,39328521
234,1,39883472,39883473,39883504,-,155,39883473,39883318
235,1,40040782,40040783,40040742,+,0,40040783,40040783
236,1,40040782,40040783,40040759,+,0,40040783,40040783
237,1,40040800,40040801,40040758,+,0,40040801,40040801
238,1,40040800,40040801,40040760,+,0,40040801,40040801
239,1,40040800,40040801,40040773,+,0,40040801,40040801
240,1,40040800,40040801,40040775,+,0,40040801,40040801
241,1,40097210,40097211,40097242,-,96,40097211,40097115
242,1,40097214,40097215,40097245,-,100,40097215,40097115
243,1,40097215,40097216,40097247,-,101,40097216,40097115
244,1,40097217,40097218,40097249,-,103,40097218,40097115
245,1,40097220,40097221,40097252,-,106,40097221,40097115
246,1,40097224,40097225,40097254,-,110,40097225,40097115
247,1,40691804,40691805,40691722,+,62,40691805,40691867
248,1,40691843,40691844,40691769,+,23,40691844,40691867
249,1,41872188,41872189,41872220,-,-46224,41872189,41872189
250,1,41872198,41872199,41872237,-,-46214,41872199,41872199
251,1,42658457,42658458,42658423,+,54,42658458,42658512
252,1,42658508,42658509,42658424,+,3,42658509,42658512
253,1,42958838,42958839,42958868,-,205,42958839,42958634
254,1,43172246,43172247,43172277,-,-33,43172247,43172280
255,1,43172250,43172251,43172279,-,-29,43172251,43172280
256,1,43172251,43172252,43172283,-,-28,43172252,43172280
257,1,43172259,43172260,43172290,-,-20,43172260,43172280
258,1,43172262,43172263,43172294,-,-17,43172263,43172280
259,1,43172263,43172264,43172286,-,-16,43172264,43172280
260,1,43172265,43172266,43172297,-,-14,43172266,43172280
261,1,43172268,43172269,43172300,-,-11,43172269,43172280
262,1,43172269,43172270,43172301,-,-10,43172270,43172280
263,1,43359005,43359006,43358947,+,0,43359006,43359006
264,1,43359005,43359006,43358953,+,0,43359006,43359006
265,1,43970063,43970064,43969987,+,258,43970064,43970322
266,1,43970071,43970072,43970010,+,250,43970072,43970322
267,1,43975020,43975021,43974960,+,86,43975021,43975107
268,1,44355220,44355221,44355249,-,329,44355221,44354892
269,1,44355225,44355226,44355257,-,334,44355226,44354892
270,1,44632017,44632018,44631955,+,190,44632018,44632208
271,1,44721881,44721882,44721903,-,47551,44721882,44721882
272,1,44739906,44739907,44739830,+,95,44739907,44740002
273,1,44739921,44739922,44739837,+,80,44739922,44740002
274,1,44739939,44739940,44739865,+,62,44739940,44740002
275,1,44739946,44739947,44739862,+,55,44739947,44740002
276,1,44739948,44739949,44739864,+,53,44739949,44740002
277,1,44739950,44739951,44739870,+,51,44739951,44740002
278,1,44739960,44739961,44739881,+,41,44739961,44740002
279,1,44775599,44775600,44775574,+,0,44775600,44775600
280,1,44819965,44819966,44819997,-,-3277,44819966,44823243
281,1,45012281,45012282,45012201,+,3,45012282,45012285
282,1,45012281,45012282,45012217,+,3,45012282,45012285
283,1,45012284,45012285,45012223,+,0,45012285,45012285
284,1,45012285,45012286,45012211,+,-1,45012286,45012285
285,1,45521854,45521855,45521886,-,-3,45521855,45521858
286,1,45521858,45521859,45521882,-,1,45521859,45521858
287,1,45521867,45521868,45521884,-,10,45521868,45521858
288,1,45551149,45551150,45551065,+,5,45551150,45551155
289,1,45551154,45551155,45551076,+,0,45551155,45551155
290,1,45584129,45584130,45584045,+,75,45584130,45584205
291,1,45688265,45688266,45688181,+,9,45688266,45688275
292,1,45688274,45688275,45688202,+,0,45688275,45688275
293,1,46303686,46303687,46303602,+,133,46303687,46303820
294,1,46303745,46303746,46303661,+,74,46303746,46303820
295,1,46303764,46303765,46303680,+,55,46303765,46303820
296,1,46303775,46303776,46303691,+,44,46303776,46303820
297,1,46303777,46303778,46303693,+,42,46303778,46303820
298,1,46303782,46303783,46303698,+,37,46303783,46303820
299,1,46303785,46303786,46303704,+,34,46303786,46303820
300,1,46303788,46303789,46303710,+,31,46303789,46303820
301,1,47231857,47231858,47231889,-,201,47231858,47231657
302,1,50968877,50968878,50968807,+,1021,50968878,50969899
303,1,51519243,51519244,51519275,-,45,51519244,51519199
304,1,51617177,51617178,51617092,+,43,51617178,51617221
305,1,52055165,52055166,52055197,-,166,52055166,52055000
306,1,52055170,52055171,52055202,-,171,52055171,52055000
307,1,52056378,52056379,52056332,+,0,52056379,52056379
308,1,52404686,52404687,52404602,+,192,52404687,52404879
309,1,52404689,52404690,52404612,+,189,52404690,52404879
310,1,52404693,52404694,52404609,+,185,52404694,52404879
311,1,52553060,52553061,52553092,-,130,52553061,52552931
312,1,52553067,52553068,52553099,-,137,52553068,52552931
313,1,53015016,53015017,53014941,+,26,53015017,53015043
314,1,53015026,53015027,53014947,+,16,53015027,53015043
315,1,53015026,53015027,53014960,+,16,53015027,53015043
316,1,53015027,53015028,53014955,+,15,53015028,53015043
317,1,53015030,53015031,53014958,+,12,53015031,53015043
318,1,53015042,53015043,53014974,+,0,53015043,53015043
319,1,53015042,53015043,53014977,+,0,53015043,53015043
320,1,53015042,53015043,53014988,+,0,53015043,53015043
321,1,53015042,53015043,53015008,+,0,53015043,53015043
322,1,53238467,53238468,53238496,-,107,53238468,53238361
323,1,53238476,53238477,53238508,-,116,53238477,53238361
324,1,53238486,53238487,53238518,-,126,53238487,53238361
325,1,53238489,53238490,53238521,-,129,53238490,53238361
326,1,53238493,53238494,53238525,-,133,53238494,53238361
327,1,53238505,53238506,53238527,-,145,53238506,53238361
328,1,53945540,53945541,53945574,-,-14,53945541,53945555
329,1,54053697,54053698,54053637,+,60,54053698,54053758
330,1,54200240,54200241,54200194,+,348,54200241,54200589
331,1,54887165,54887166,54887195,-,277,54887166,54886889
332,1,58049343,58049344,58049373,-,-489451,58049344,58049344
333,1,58700030,58700031,58700062,-,46,58700031,58699985
334,1,61725111,61725112,61725141,-,155,61725112,61724957
335,1,62437132,62437133,62437049,+,267,62437133,62437400
336,1,62437134,62437135,62437050,+,265,62437135,62437400
337,1,62784210,62784211,62784132,+,14,62784211,62784225
338,1,63523135,63523136,63523167,-,7,63523136,63523129
339,1,63523153,63523154,63523185,-,25,63523154,63523129
340,1,63523162,63523163,63523194,-,34,63523163,63523129
341,1,66930399,66930400,66930380,+,0,66930400,66930400
342,1,67685273,67685274,67685201,+,264,67685274,67685538
343,1,70205520,70205521,70205552,-,131,70205521,70205390
344,1,70205533,70205534,70205565,-,144,70205534,70205390
345,1,70205779,70205780,70205724,+,0,70205780,70205780
346,1,70205779,70205780,70205727,+,0,70205780,70205780
347,1,70221534,70221535,70221480,+,304,70221535,70221839
348,1,71080981,71080982,71081013,-,42,71080982,71080940
349,1,71080987,71080988,71081017,-,48,71080988,71080940
350,1,71080999,71081000,71081019,-,60,71081000,71080940
351,1,71080999,71081000,71081029,-,60,71081000,71080940
352,1,71080999,71081000,71081031,-,60,71081000,71080940
353,1,71081001,71081002,71081033,-,62,71081002,71080940
354,1,71081002,71081003,71081034,-,63,71081003,71080940
355,1,71081005,71081006,71081037,-,66,71081006,71080940
356,1,71081011,71081012,71081035,-,72,71081012,71080940
357,1,71081013,71081014,71081032,-,74,71081014,71080940
358,1,74733020,74733021,74733050,-,65,74733021,74732956
359,1,75724773,75724774,75724706,+,43,75724774,75724817
360,1,75724780,75724781,75724711,+,36,75724781,75724817
361,1,75724793,75724794,75724709,+,23,75724794,75724817
362,1,75724801,75724802,75724722,+,15,75724802,75724817
363,1,75724804,75724805,75724720,+,12,75724805,75724817
364,1,75724808,75724809,75724729,+,8,75724809,75724817
365,1,75724816,75724817,75724755,+,0,75724817,75724817
366,1,77219398,77219399,77219430,-,89,77219399,77219310
367,1,84144353,84144354,84144271,+,194,84144354,84144548
368,1,84144412,84144413,84144328,+,135,84144413,84144548
369,1,84144418,84144419,84144334,+,129,84144419,84144548
370,1,85259630,85259631,85259662,-,273,85259631,85259358
371,1,85708383,85708384,85708415,-,330,85708384,85708054
372,1,86396303,86396304,86396323,-,271,86396304,86396033
373,1,86914083,86914084,86914115,-,56,86914084,86914028
374,1,86914092,86914093,86914124,-,65,86914093,86914028
375,1,86914095,86914096,86914116,-,68,86914096,86914028
376,1,86914095,86914096,86914125,-,68,86914096,86914028
377,1,86914097,86914098,86914114,-,70,86914098,86914028
378,1,86914109,86914110,86914126,-,82,86914110,86914028
379,1,88891532,88891533,88891564,-,50,88891533,88891483
380,1,88891535,88891536,88891567,-,53,88891536,88891483
381,1,89022826,89022827,89022854,-,143,89022827,89022684
382,1,89065276,89065277,89065309,-,117,89065277,89065160
383,1,89065287,89065288,89065320,-,128,89065288,89065160
384,1,89065299,89065300,89065331,-,140,89065300,89065160
385,1,89065319,89065320,89065351,-,160,89065320,89065160
386,1,89065331,89065332,89065363,-,172,89065332,89065160
387,1,91500911,91500912,91500851,+,36,91500912,91500948
388,1,92832100,92832101,92832042,+,16,92832101,92832117
389,1,92832104,92832105,92832041,+,12,92832105,92832117
390,1,92832116,92832117,92832040,+,0,92832117,92832117
391,1,92832116,92832117,92832071,+,0,92832117,92832117
392,1,92832116,92832117,92832073,+,0,92832117,92832117
393,1,93079352,93079353,93079283,+,178,93079353,93079531
394,1,93079376,93079377,93079298,+,154,93079377,93079531
395,1,93847645,93847646,93847569,+,-317890,93847646,93847646
396,1,93879142,93879143,93879174,-,66,93879143,93879077
397,1,93879146,93879147,93879178,-,70,93879147,93879077
398,1,93879148,93879149,93879179,-,72,93879149,93879077
399,1,93879148,93879149,93879180,-,72,93879149,93879077
400,1,97921002,97921003,97921034,-,119,97921003,97920884
401,1,100249802,100249803,100249834,-,33,100249803,100249770
402,1,100896151,100896152,100896090,+,190,100896152,100896342
403,1,100896170,100896171,100896100,+,171,100896171,100896342
404,1,101025722,101025723,101025754,-,40,101025723,101025683
405,1,103525785,103525786,103525701,+,37,103525786,103525823
406,1,108661050,108661051,108661075,-,88,108661051,108660963
407,1,108692394,108692395,108692310,+,472,108692395,108692867
408,1,108692421,108692422,108692337,+,445,108692422,108692867
409,1,109214002,109214003,109213918,+,125,109214003,109214128
410,1,109214004,109214005,109213920,+,123,109214005,109214128
411,1,109214010,109214011,109213932,+,117,109214011,109214128
412,1,109283113,109283114,109283145,-,40,109283114,109283074
413,1,109426337,109426338,109426369,-,36,109426338,109426302
414,1,109426383,109426384,109426416,-,82,109426384,109426302
415,1,109426387,109426388,109426419,-,86,109426388,109426302
416,1,109426390,109426391,109426417,-,89,109426391,109426302
417,1,109426391,109426392,109426423,-,90,109426392,109426302
418,1,109426393,109426394,109426425,-,92,109426394,109426302
419,1,109426394,109426395,109426415,-,93,109426395,109426302
420,1,109426403,109426404,109426434,-,102,109426404,109426302
421,1,109426404,109426405,109426436,-,103,109426405,109426302
422,1,109426414,109426415,109426444,-,113,109426415,109426302
423,1,109426418,109426419,109426437,-,117,109426419,109426302
424,1,109426418,109426419,109426448,-,117,109426419,109426302
425,1,109426419,109426420,109426450,-,118,109426420,109426302
426,1,109426429,109426430,109426447,-,128,109426430,109426302
427,1,109548719,109548720,109548635,+,118,109548720,109548838
428,1,109740284,109740285,109740316,-,45,109740285,109740240
429,1,109984849,109984850,109984786,+,322,109984850,109985172
430,1,110407655,110407656,110407679,-,70,110407656,110407586
431,1,110407665,110407666,110407694,-,80,110407666,110407586
432,1,110873171,110873172,110873087,+,76,110873172,110873248
433,1,110873187,110873188,110873106,+,60,110873188,110873248
434,1,110873227,110873228,110873146,+,20,110873228,110873248
435,1,110873232,110873233,110873148,+,15,110873233,110873248
436,1,110873234,110873235,110873150,+,13,110873235,110873248
437,1,111140306,111140307,111140243,+,0,111140307,111140307
438,1,111229756,111229757,111229712,+,0,111229757,111229757
439,1,111229809,111229810,111229736,+,0,111229810,111229810
440,1,111229809,111229810,111229740,+,0,111229810,111229810
441,1,111229809,111229810,111229753,+,0,111229810,111229810
442,1,111229809,111229810,111229774,+,0,111229810,111229810
443,1,111229809,111229810,111229782,+,0,111229810,111229810
444,1,111229809,111229810,111229788,+,0,111229810,111229810
445,1,111229880,111229881,111229820,+,0,111229881,111229881
446,1,111449224,111449225,111449256,-,170,111449225,111449055
447,1,111449549,111449550,111449465,+,31,111449550,111449581
448,1,111449562,111449563,111449482,+,18,111449563,111449581
449,1,111449563,111449564,111449481,+,17,111449564,111449581
450,1,111449568,111449569,111449484,+,12,111449569,111449581
451,1,111449577,111449578,111449494,+,3,111449578,111449581
452,1,111755984,111755985,111755903,+,240,111755985,111756225
453,1,112619882,112619883,112619832,+,0,112619883,112619883
454,1,112956165,112956166,112956197,-,131,112956166,112956035
455,1,112956167,112956168,112956195,-,133,112956168,112956035
456,1,112956169,112956170,112956199,-,135,112956170,112956035
457,1,113871685,113871686,113871712,-,149,113871686,113871537
458,1,114581588,114581589,114581613,-,90,114581589,114581499
459,1,114581593,114581594,114581615,-,95,114581594,114581499
460,1,114581595,114581596,114581621,-,97,114581596,114581499
461,1,114581597,114581598,114581622,-,99,114581598,114581499
462,1,114581602,114581603,114581620,-,104,114581603,114581499
463,1,114716729,114716730,114716762,-,72,114716730,114716658
464,1,114716733,114716734,114716765,-,76,114716734,114716658
465,1,114757928,114757929,114757960,-,4,114757929,114757925
466,1,114757932,114757933,114757964,-,8,114757933,114757925
467,1,114757947,114757948,114757979,-,23,114757948,114757925
468,1,114757951,114757952,114757981,-,27,114757952,114757925
469,1,114757956,114757957,114757987,-,32,114757957,114757925
470,1,114757963,114757964,114757993,-,39,114757964,114757925
471,1,114757968,114757969,114758000,-,44,114757969,114757925
472,1,114757969,114757970,114757994,-,45,114757970,114757925
473,1,114780615,114780616,114780646,-,167,114780616,114780449
474,1,114780635,114780636,114780666,-,187,114780636,114780449
475,1,114780655,114780656,114780687,-,207,114780656,114780449
476,1,116373299,116373300,116373244,+,223,116373300,116373523
477,1,116754494,116754495,116754430,+,58,116754495,116754553
478,1,116754496,116754497,116754436,+,56,116754497,116754553
479,1,116754513,116754514,116754441,+,39,116754514,116754553
480,1,117929781,117929782,117929754,+,0,117929782,117929782
481,1,119712014,119712015,119711936,+,145,119712015,119712160
482,1,120176360,120176361,120176392,-,54,120176361,120176307
483,1,120176373,120176374,120176405,-,67,120176374,120176307
484,1,120176376,120176377,120176408,-,70,120176377,120176307
485,1,120176439,120176440,120176469,-,133,120176440,120176307
486,1,120176449,120176450,120176481,-,143,120176450,120176307
487,1,120176465,120176466,120176497,-,159,120176466,120176307
488,1,120176469,120176470,120176501,-,163,120176470,120176307
489,1,120176471,120176472,120176502,-,165,120176472,120176307
490,1,120176482,120176483,120176499,-,176,120176483,120176307
491,1,120850955,120850956,120850985,-,-332382,120850956,120850956
492,1,144412630,144412631,144412576,+,181021,144412631,144412631
493,1,145281192,145281193,145281116,+,-184194,145281193,145281193
494,1,145927454,145927455,145927484,-,95,145927455,145927360
